family,term,label,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_market_fe_coef,all_market_fe_p,all_unit_fe_coef,all_unit_fe_p
platform_specific_pricing,unlock_fee_z:platform_LeipzigMOVE_clean,Unlock fee:platform_LeipzigMOVE_clean,4,2,0,-0.036176334851315835,-0.015117338193989253,0.48488138401113245,-0.059882100851298935,9.104828736882758e-22
platform_specific_pricing,unlock_fee_z:platform_redy_clean,Unlock fee:platform_redy_clean,4,2,0,-0.041385179728883774,0.0315264266123038,0.4814858384311608,-0.07572503338442092,3.404070812919228e-57
pricing_thresholds,zero_unlock_fee:local_maas_only,zero_unlock_fee:Local MaaS only,6,1,4,0.03165339998134137,0.12672248135356415,0.036355387226308995,0.031659289638174444,0.004499120035948
platform_intensity_maturity,price_per_minute_z:platform_exposure_count_intensity_z,Price/min:platform_exposure_count_intensity_z,6,1,3,0.09134018536726982,0.1599558277369571,0.000321533607128258,0.0660094939268197,0.002426189701985487
promotion_type_fit,promo_subscriber_minutes:large_aggregator_only,promo_subscriber_minutes:FreeNow only,4,1,3,2.853449920670471e-17,1.2584726280364623e-16,0.0,5.065329447283615e-17,2.9205318822292354e-34
platform_intensity_maturity,unlock_fee_z:platform_exposure_count_intensity_z,Unlock fee:platform_exposure_count_intensity_z,6,1,1,0.021381753164180527,-0.06179296888194627,0.20113153804754835,0.03154168111120659,0.028155349780728808
pricing_thresholds,zero_unlock_fee:platform_any,zero_unlock_fee:Any platform,6,1,1,-2.879687199341069e-17,0.14855672250858368,0.002002272257134145,-0.006140026027979676,0.5320407281574748
promotion_type_fit,promo_parking_credit:platform_any,promo_parking_credit:Any platform,4,1,1,-0.008111997908475695,-0.01622399581695139,0.0633508038556258,-0.022081056169933014,0.0
city_context_boundary,price_per_minute_z:platform_any:ADFC_Gesamt_2022_rev_z,Price/min:Any platform:ADFC_Gesamt_2022_rev_z,4,1,0,-0.016452852990565862,-0.04944484561843018,0.02023901843675257,-0.0008220670786055158,0.9768042146817701
city_context_boundary,unlock_fee_z:platform_any:mean_parking_garage_fee_1h_z,Unlock fee:Any platform:mean_parking_garage_fee_1h_z,4,1,0,-0.007389577956952047,-0.05907087274964831,0.016671308332267154,0.03129448902959306,0.10212238062445675
platform_intensity_maturity,unlock_fee_z:platform_count_intensity_z,Unlock fee:platform_count_intensity_z,6,1,0,-0.031020174053442248,0.042987172305190065,0.3822108571979037,-0.03882337017255833,0.04472354022442016
promotion_type_fit,promo_voucher_20eur:multi_platform,promo_voucher_20eur:Multi-platform,4,1,0,-0.011011444693302622,0.0031803741077258718,0.8469240408483794,-0.012043993434383874,0.01873313475141434
trip_context_boundary,unlock_fee_z:platform_any:avg_network_distance_m_z,Unlock fee:Any platform:avg_network_distance_m_z,4,1,0,-0.011317989075617428,-0.0001237945265029428,0.9956600439914782,-0.01601625062680101,0.17025323038744677
pricing_thresholds,high_price_per_minute:large_aggregator_only,high_price_per_minute:FreeNow only,6,0,4,0.03677983422933557,0.09205348661815899,0.039037426213561474,0.036270873420765896,0.0004894817250294298
promotion_type_fit,promo_subscriber_minutes:multi_platform,promo_subscriber_minutes:Multi-platform,4,0,4,0.0731268810839159,0.12154528034954334,5.397600450298822e-13,0.04298958306543844,3.763776134294313e-13
promotion_type_fit,promo_subscriber_minutes:platform_any,promo_subscriber_minutes:Any platform,4,0,4,0.03844037856404402,0.05076796951141918,0.0006244704331612577,0.02611278761666885,1.4378829281009157e-33
pricing_thresholds,high_price_per_minute:local_maas_only,high_price_per_minute:Local MaaS only,6,0,3,0.02620153390020815,0.06617829466886724,0.20148414085418653,0.02719936418074156,0.008118622191001654
pricing_thresholds,high_price_per_minute:multi_platform,high_price_per_minute:Multi-platform,6,0,3,0.02403777009553374,0.022764335659497644,0.6429629909189893,0.02682474443832663,0.000729007199186272
pricing_thresholds,high_price_per_minute:platform_any,high_price_per_minute:Any platform,6,0,3,0.03639635167774673,0.06531835687723551,0.09218618040398946,0.03617396148298579,0.0005120699280002232
city_context_boundary,price_per_minute_z:platform_any:stations_inhabitant_z,Price/min:Any platform:stations_inhabitant_z,4,0,2,0.046904767111853235,-0.02639162193899371,0.36811466856077213,0.12020115616270018,0.0021841138721864907
platform_intensity_maturity,price_per_minute_z:platform_maturity_days_z,Price/min:platform_maturity_days_z,6,0,2,0.04021270534247673,-0.03270623684787903,0.1573660889520374,0.11187513200468775,0.003344210212193349
promotion_type_fit,promo_voucher_20eur:local_maas_only,promo_voucher_20eur:Local MaaS only,4,0,2,0.01122847397249599,-0.029505474688939395,0.2092448003627867,0.039856393173660784,2.493217400698961e-21
promotion_type_fit,promo_voucher_20eur:platform_any,promo_voucher_20eur:Any platform,4,0,2,0.007434704808218639,0.0004399284958099149,0.9725156983490865,0.016478284031194612,2.0791792291944753e-08
city_context_boundary,price_per_minute_z:platform_any:average_montly_income_z,Price/min:Any platform:average_montly_income_z,4,0,1,-0.006928483093783033,0.035951955083344714,0.011074711365055109,-0.03596408064081238,0.4725764285907914
trip_context_boundary,price_per_minute_z:platform_any:avg_network_distance_m_z,Price/min:Any platform:avg_network_distance_m_z,4,0,1,0.001992671235506157,-0.014319162608646073,0.4076494868045455,0.003689911901056337,0.7315291741679482
trip_context_boundary,unlock_fee_z:platform_any:share_weather_is_wet_z,Unlock fee:Any platform:share_weather_is_wet_z,4,0,1,0.0053140196365532855,0.00572962111336568,0.15088236001626315,0.006138437430938762,0.0375263950889727
city_context_boundary,price_per_minute_z:platform_any:Congestion_Rank_in_Germany_z,Price/min:Any platform:Congestion_Rank_in_Germany_z,4,0,0,-0.061877256910169535,0.009315513433801008,0.7602350694413362,-0.12125662506893443,0.0627297157617338
city_context_boundary,price_per_minute_z:platform_any:Zentralitätskennziffer_2023_z,Price/min:Any platform:Zentralitätskennziffer_2023_z,4,0,0,0.02763029774613535,0.0108295705308984,0.7072222078756052,0.027353050095486615,0.7355822532080509
city_context_boundary,price_per_minute_z:platform_any:mean_parkgebuehr_offroad_z,Price/min:Any platform:mean_parkgebuehr_offroad_z,4,0,0,0.03020985382366808,0.012194014266684634,0.6418802074769148,0.048436334622366094,0.2153024808685009
city_context_boundary,price_per_minute_z:platform_any:mean_parking_garage_fee_1h_z,Price/min:Any platform:mean_parking_garage_fee_1h_z,4,0,0,0.0005571611813118046,0.02166556632194081,0.3653221638292242,-0.020551243959317202,0.32511779051547096
city_context_boundary,price_per_minute_z:platform_any:population_density_z,Price/min:Any platform:population_density_z,4,0,0,-0.054582009327122,0.027614976338317325,0.29203028163747613,-0.10680135231410975,0.08476789778946778
