model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
platform_intensity_maturity_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_count_intensity_z,-15988981531.958687,2.0235641354862787e+17,0.9999999369559813,-3.9661129858498515e+17,3.9661126660702214e+17,13768,92,30,0.9025592486992682,0.9007350286253386,no_weak_exposure,platform_intensity_maturity,False,Unlock fee:platform_count_intensity_z,-15988981531.959,negative
platform_intensity_maturity_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_exposure_count_intensity_z,16585445118.764917,2.109565560155337e+17,0.9999999372701619,-4.134672355076074e+17,4.1346726867849766e+17,13768,92,30,0.9025592486992682,0.9007350286253386,no_weak_exposure,platform_intensity_maturity,False,Unlock fee:platform_exposure_count_intensity_z,16585445118.765,positive
platform_intensity_maturity_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_maturity_days_z,-0.16684230271197686,1550.8506508414198,0.999914162658349,-3039.778263352397,3039.4445787469735,13768,92,30,0.9025592486992682,0.9007350286253386,no_weak_exposure,platform_intensity_maturity,False,Unlock fee:platform_maturity_days_z,-0.167,negative
platform_intensity_maturity_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_count_intensity_z,-5335393209.463844,6.053740323696362e+16,0.9999999296793777,-1.1865113539742038e+17,1.1865112472663395e+17,13768,92,30,0.9025592486992682,0.9007350286253386,no_weak_exposure,platform_intensity_maturity,False,Price/min:platform_count_intensity_z,-5335393209.464,negative
platform_intensity_maturity_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_exposure_count_intensity_z,5534428261.491529,6.806512564776957e+16,0.9999999351233863,-1.3340518933839362e+17,1.3340520040725013e+17,13768,92,30,0.9025592486992682,0.9007350286253386,no_weak_exposure,platform_intensity_maturity,False,Price/min:platform_exposure_count_intensity_z,5534428261.492,positive
platform_intensity_maturity_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_maturity_days_z,0.11012237360486765,1402.518504862597,0.9999373520268693,-2748.7756348080497,2748.9958795552598,13768,92,30,0.9025592486992682,0.9007350286253386,no_weak_exposure,platform_intensity_maturity,False,Price/min:platform_maturity_days_z,0.110,positive
platform_intensity_maturity_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_count_intensity_z,0.050008646251262674,0.0324810287211451,0.12365146954903525,-0.01365300022299281,0.11367029272551815,11149,75,30,0.8417966829396306,0.8388771625626715,scooter_only,platform_intensity_maturity,False,Unlock fee:platform_count_intensity_z,0.050,positive
platform_intensity_maturity_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_exposure_count_intensity_z,-0.08271740544111864,0.02807436533716854,0.0032152984956602924,-0.13774215039078866,-0.027692660491448605,11149,75,30,0.8417966829396306,0.8388771625626715,scooter_only,platform_intensity_maturity,True,Unlock fee:platform_exposure_count_intensity_z,-0.083**,negative
platform_intensity_maturity_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_maturity_days_z,0.01573008054243869,0.014981724262227252,0.29374051375540766,-0.013633559437836635,0.045093720522714015,11149,75,30,0.8417966829396306,0.8388771625626715,scooter_only,platform_intensity_maturity,False,Unlock fee:platform_maturity_days_z,0.016,positive
platform_intensity_maturity_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_count_intensity_z,-0.07484467135665591,0.057710389118438364,0.19466519278231464,-0.18795495556258734,0.038265612849275515,11149,75,30,0.8417966829396306,0.8388771625626715,scooter_only,platform_intensity_maturity,False,Price/min:platform_count_intensity_z,-0.075,negative
