model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,significant_05,label
any_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.08907291032166698,0.024724013007610155,0.00031494320244863705,-0.1375310853698827,-0.040614735273451254,14514,97,30,0.7834587911815081,True,Unlock fee:Any platform
any_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:competition_z,0.039731094557867414,0.016791959887610196,0.01797763413903531,0.006819457948310174,0.07264273116742465,14514,97,30,0.7834587911815081,True,Unlock fee:Competition
any_market_fe_all,ols_cluster,market_fe,ur_boxcox,platform_any:competition_z,-0.07036493318634228,0.021831722027530236,0.0012682932522927997,-0.1131543220807913,-0.027575544291893253,14514,97,30,0.7834587911815081,True,Any platform:Competition
any_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:competition_z,-0.03302628501025143,0.0200348357316721,0.09926179533387616,-0.07229384148050493,0.006241271460002071,14514,97,30,0.7834587911815081,False,Unlock fee:Any platform:Competition
any_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_any,-0.002324442291438567,0.02883741778340735,0.935756028193887,-0.05884474255405185,0.05419585797117471,14514,97,30,0.7834587911815081,False,Price/min:Any platform
any_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:competition_z,-0.03552577532222838,0.02669588095660134,0.1832684277086677,-0.0878487405327357,0.016797189888278934,14514,97,30,0.7834587911815081,False,Price/min:Competition
any_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_any:competition_z,0.03638175378168686,0.02801129645809519,0.19400421775232657,-0.01851937843645409,0.09128288599982781,14514,97,30,0.7834587911815081,False,Price/min:Any platform:Competition
type_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:large_only,-0.04328023555748186,0.03205738081211859,0.17698825320965095,-0.1061115473879197,0.01955107627295597,14514,97,30,0.8007322787980945,False,Unlock fee:FreeNow only
type_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:competition_z,0.0463251434066049,0.018742119730119265,0.013446737137024864,0.009591263741633584,0.08305902307157623,14514,97,30,0.8007322787980945,True,Unlock fee:Competition
type_market_fe_all,ols_cluster,market_fe,ur_boxcox,large_only:competition_z,-0.03465549335912394,0.03884849643988894,0.37235658440495223,-0.11079714723483877,0.041486160516590896,14514,97,30,0.8007322787980945,False,FreeNow only:Competition
