model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,moderator,moderator_category,moderator_centrality,platform_family,significant_05,label,estimate,effect_direction
active_vehicle_share_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,active_vehicle_share_same_mode_z:multi_platform,0.019209680439175526,0.008497606255501867,0.023784098018283146,0.002554678223589596,0.035864682654761455,14514,97,30,0.9051137775008471,0.9033896627521955,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:Multi-platform,0.019*,positive
commute_peak_share_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,commute_peak_trip_share_z:local_maas_only,0.010781049884039495,0.005127134262164075,0.03548816933198836,0.0007320513862965634,0.02083004838178243,14514,97,30,0.7703546883842326,0.7671132410397853,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,platform_types,True,commute_peak_trip_share_z:Local MaaS only,0.011*,positive
commute_peak_share_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,commute_peak_trip_share_z:local_maas_only,0.00903005200885114,0.004425119468295744,0.041287157826633024,0.0003569772237044487,0.017703126793997832,14514,97,30,0.9024443005409352,0.9006716804932364,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,platform_types,True,commute_peak_trip_share_z:Local MaaS only,0.009*,positive
night_trip_share_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,night_trip_share_z:local_maas_only,-0.018536309935748334,0.005647212987540831,0.0010293407782312127,-0.029604644004355203,-0.0074679758671414645,14514,97,30,0.7746040058239623,0.7714225376649546,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,True,night_trip_share_z:Local MaaS only,-0.019**,negative
night_trip_share_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,night_trip_share_z:local_maas_only,-0.017575924686347603,0.0042868608545624355,4.1323544135834756e-05,-0.025978017568024578,-0.00917383180467063,14514,97,30,0.9054326478324513,0.9037143270655511,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,True,night_trip_share_z:Local MaaS only,-0.018***,negative
reservation_available_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,reservation_available_external:multi_platform,-0.05862577812364534,0.020727620044123252,0.004678288212309137,-0.09925116689535744,-0.018000389351933238,14514,97,30,0.9004142863711723,0.8986118932377989,all,platform_feature_moderation,reservation_available,process_product,medium,platform_types,True,reservation_available_external:Multi-platform,-0.059**,negative
same_mode_competition_any_platform_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,same_mode_competitor_count_day_z:platform_any,-0.030007822749169372,0.012884138498097112,0.019856334900919304,-0.055260270177265695,-0.004755375321073049,13768,92,30,0.8053238588226751,0.8024831280427274,no_weak_exposure,platform_feature_moderation,same_mode_competition,competition,high,any_platform,True,same_mode_competitor_count_day_z:Any platform,-0.030*,negative
same_mode_competition_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,same_mode_competitor_count_day_z:local_maas_only,-0.04697078923899671,0.021577697881331022,0.029493913944898975,-0.08926229995569174,-0.004679278522301676,13768,92,30,0.8123719023247203,0.809577882735306,no_weak_exposure,platform_feature_moderation,same_mode_competition,competition,high,platform_types,True,same_mode_competitor_count_day_z:Local MaaS only,-0.047*,negative
active_vehicle_hhi_same_mode_any_platform_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:platform_any,0.04164435325470416,0.01600467281887977,0.009267856668476952,0.010275770945352668,0.07301293556405566,13768,92,30,0.8081870188766631,0.8053880675713038,no_weak_exposure,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,any_platform,True,active_vehicle_hhi_same_mode_day_z:Any platform,0.042**,positive
active_vehicle_hhi_same_mode_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:local_maas_only,0.04352655454184714,0.01978006553355186,0.027769575653224982,0.004758338484243445,0.08229477059945084,13768,92,30,0.8154047196408745,0.8126558625356373,no_weak_exposure,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,platform_types,True,active_vehicle_hhi_same_mode_day_z:Local MaaS only,0.044*,positive
active_vehicle_hhi_same_mode_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:multi_platform,0.06435682582024793,0.026521700948630253,0.01524221144384247,0.01237524715219085,0.11633840448830501,13768,92,30,0.8154047196408745,0.8126558625356373,no_weak_exposure,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,platform_types,True,active_vehicle_hhi_same_mode_day_z:Multi-platform,0.064*,positive
unlock_fee_gap_same_mode_any_platform_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:platform_any,-0.05509070396814849,0.01230099209826748,7.514902770622527e-06,-0.07920020545486453,-0.030981202481432442,13768,92,30,0.8082634141320317,0.8054655775927246,no_weak_exposure,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,any_platform,True,unlock_fee_gap_to_same_mode_min_z:Any platform,-0.055***,negative
unlock_fee_gap_same_mode_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:local_maas_only,-0.07654837856175227,0.015709967945047188,1.1013947449455481e-06,-0.10733934993232348,-0.04575740719118106,13768,92,30,0.8228424898355293,0.8202043905319375,no_weak_exposure,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Local MaaS only,-0.077***,negative
unlock_fee_gap_same_mode_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:multi_platform,-0.08693127597153014,0.015040887290281635,7.484992492808397e-09,-0.11641087335600839,-0.057451678587051885,13768,92,30,0.8228424898355293,0.8202043905319375,no_weak_exposure,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Multi-platform,-0.087***,negative
unlock_fee_gap_same_mode_platform_types_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:local_maas_only,-0.029893211929085832,0.00966344689965682,0.0019785616183585434,-0.04883321981892845,-0.010953204039243217,13768,92,30,0.9029328463228874,0.9011083027697173,no_weak_exposure,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Local MaaS only,-0.030**,negative
unlock_fee_gap_same_mode_platform_types_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:multi_platform,-0.04045123803389024,0.01146969918204275,0.0004206277962030685,-0.06293143534420255,-0.01797104072357793,13768,92,30,0.9029328463228874,0.9011083027697173,no_weak_exposure,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Multi-platform,-0.040***,negative
price_per_minute_gap_same_mode_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,price_per_minute_gap_to_same_mode_min_z:large_aggregator_only,0.03376174567842587,0.01313722550434574,0.010171916163215304,0.008013256833127171,0.05951023452372456,13768,92,30,0.8175041253980228,0.8147865310987527,no_weak_exposure,platform_feature_moderation,price_per_minute_gap_same_mode,relative_price_position,high,platform_types,True,price_per_minute_gap_to_same_mode_min_z:FreeNow only,0.034*,positive
price_per_minute_gap_same_mode_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,price_per_minute_gap_to_same_mode_min_z:local_maas_only,-0.06946070411607622,0.03154586735820793,0.027672689293252156,-0.13128946799924146,-0.007631940232910979,13768,92,30,0.8175041253980228,0.8147865310987527,no_weak_exposure,platform_feature_moderation,price_per_minute_gap_same_mode,relative_price_position,high,platform_types,True,price_per_minute_gap_to_same_mode_min_z:Local MaaS only,-0.069*,negative
active_vehicle_share_same_mode_any_platform_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,active_vehicle_share_same_mode_z:platform_any,0.04135973828392519,0.014748066460772575,0.0050407558271522886,0.01245405917920784,0.07026541738864253,13768,92,30,0.8149576062721177,0.8122574519528516,no_weak_exposure,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,any_platform,True,active_vehicle_share_same_mode_z:Any platform,0.041**,positive
