model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,moderator,moderator_category,moderator_centrality,platform_family,significant_05,label,estimate,effect_direction
active_vehicle_hhi_same_mode_any_platform_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:platform_any,0.031565686997438565,0.017046419512693842,0.06406190189271584,-0.0018446813128021877,0.06497605530767932,14514,97,30,0.7782283372169791,0.7751608702780313,all,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,any_platform,False,active_vehicle_hhi_same_mode_day_z:Any platform,0.032+,positive
active_vehicle_hhi_same_mode_any_platform_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:platform_any,-0.014679093608613854,0.010717200602336115,0.17078803003753462,-0.03568442080428361,0.0063262335870559044,14514,97,30,0.9007830024294682,0.8990085365590456,all,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,any_platform,False,active_vehicle_hhi_same_mode_day_z:Any platform,-0.015,negative
active_vehicle_hhi_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:large_aggregator_only,-0.060573448174423804,0.0348123913016972,0.08185958636519391,-0.12880448134146577,0.007657584992618156,14514,97,30,0.7896518358225759,0.786682768031098,all,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,platform_types,False,active_vehicle_hhi_same_mode_day_z:FreeNow only,-0.061+,negative
active_vehicle_hhi_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:local_maas_only,0.046524323891669675,0.021184423337388465,0.02808069344948241,0.0050036171171384675,0.08804503066620088,14514,97,30,0.7896518358225759,0.786682768031098,all,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,platform_types,True,active_vehicle_hhi_same_mode_day_z:Local MaaS only,0.047*,positive
active_vehicle_hhi_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:multi_platform,-0.01109283467320954,0.03628946665776421,0.7598510197547131,-0.08221888234059452,0.06003321299417544,14514,97,30,0.7896518358225759,0.786682768031098,all,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,platform_types,False,active_vehicle_hhi_same_mode_day_z:Multi-platform,-0.011,negative
active_vehicle_hhi_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:large_aggregator_only,-0.036356389674847424,0.018816393112093852,0.05333905524986598,-0.07323584249349892,0.00052306314380407,14514,97,30,0.9012496287967835,0.8994553011595144,all,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,platform_types,False,active_vehicle_hhi_same_mode_day_z:FreeNow only,-0.036+,negative
active_vehicle_hhi_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:local_maas_only,0.015338911890664967,0.009755877863286116,0.11588704913881503,-0.0037822573589473985,0.034460081140277335,14514,97,30,0.9012496287967835,0.8994553011595144,all,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,platform_types,False,active_vehicle_hhi_same_mode_day_z:Local MaaS only,0.015,positive
active_vehicle_hhi_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:multi_platform,0.00985781029177396,0.012474437893344913,0.42938712874693075,-0.014591638706563773,0.03430725929011169,14514,97,30,0.9012496287967835,0.8994553011595144,all,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,platform_types,False,active_vehicle_hhi_same_mode_day_z:Multi-platform,0.010,positive
unlock_fee_gap_same_mode_any_platform_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:platform_any,-0.0741664369681546,0.014816078058057498,5.562828464993734e-07,-0.10320541635408144,-0.04512745758222776,14514,97,30,0.768979037413914,0.7657836374424125,all,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,any_platform,True,unlock_fee_gap_to_same_mode_min_z:Any platform,-0.074***,negative
unlock_fee_gap_same_mode_any_platform_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:platform_any,-0.006280260320077697,0.007096679735006294,0.37617952623717654,-0.02018949701050529,0.007628976370349895,14514,97,30,0.9003691697585915,0.8985873026165268,all,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,any_platform,False,unlock_fee_gap_to_same_mode_min_z:Any platform,-0.006,negative
unlock_fee_gap_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:large_aggregator_only,-0.025666140812000488,0.013597485217614228,0.0590843366523539,-0.052316722118840156,0.0009844404948391797,14514,97,30,0.7820005129165731,0.7789234465766351,all,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,False,unlock_fee_gap_to_same_mode_min_z:FreeNow only,-0.026+,negative
