family,moderator,category,centrality,term,label,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_market_fe_coef,all_market_fe_p,all_unit_fe_coef,all_unit_fe_p
platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,active_vehicle_share_same_mode_z:local_maas_only,active_vehicle_share_same_mode_z:Local MaaS only,6,0,2,0.017099572441502633,0.05845746357064653,0.010707811465731994,0.01718707779981133,0.056849443011653025
platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,active_vehicle_share_same_mode_z:platform_any,active_vehicle_share_same_mode_z:Any platform,6,0,2,0.02127813529547709,0.03334330233519737,0.059007195207646676,0.014791531779901073,0.08384480193433673
platform_feature_moderation,price_per_minute_gap_same_mode,relative_price_position,high,price_per_minute_gap_to_same_mode_min_z:large_aggregator_only,price_per_minute_gap_to_same_mode_min_z:FreeNow only,6,0,2,0.012292013142065466,0.04616258710481271,0.0010531954353689263,0.006076992660208852,0.35066643786798957
platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,active_vehicle_hhi_same_mode_day_z:local_maas_only,active_vehicle_hhi_same_mode_day_z:Local MaaS only,6,0,2,0.021847627456687668,0.046524323891669675,0.02808069344948241,0.015338911890664967,0.11588704913881503
platform_feature_moderation,commute_peak_share,process_usage_context,medium,commute_peak_trip_share_z:local_maas_only,commute_peak_trip_share_z:Local MaaS only,6,0,2,0.008416664196369474,0.010781049884039495,0.03548816933198836,0.00903005200885114,0.041287157826633024
high_fee_feature_moderation,same_platform_competition,platform_competition,high,unlock_fee_ge_1_00:multi_platform:same_platform_competitor_count_day_z,unlock_fee_ge_1_00:Multi-platform:same_platform_competitor_count_day_z,6,0,1,311605710.6949163,623211421.3142666,,5538200425.431343,
platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,active_vehicle_hhi_same_mode_day_z:multi_platform,active_vehicle_hhi_same_mode_day_z:Multi-platform,6,0,1,0.014718511888103364,-0.01109283467320954,0.7598510197547131,0.00985781029177396,0.42938712874693075
platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,active_vehicle_hhi_same_mode_day_z:platform_any,active_vehicle_hhi_same_mode_day_z:Any platform,6,0,1,-0.012664610413571963,0.031565686997438565,0.06406190189271584,-0.014679093608613854,0.17078803003753462
high_fee_feature_moderation,active_vehicle_share_same_mode,availability_position,high,unlock_fee_ge_1_00:large_aggregator_only:active_vehicle_share_same_mode_z,unlock_fee_ge_1_00:FreeNow only:active_vehicle_share_same_mode_z,6,0,0,-0.016627341429816908,0.07555045351881523,0.1858059062566555,-0.04175046504621367,0.0856701275158988
high_fee_feature_moderation,free_unlock_pass,price_pass,high,unlock_fee_ge_1_00:large_aggregator_only:free_unlock_pass_external,unlock_fee_ge_1_00:FreeNow only:free_unlock_pass_external,6,0,0,17491962.580734167,285104556.3634247,0.9999999581523848,1232329852.6527796,0.9999997836200647
