model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.12091965742021601,0.03275446748765111,0.000222760399943856,-0.18511723402880034,-0.05672208081163169,13768,92,30,0.8178343051671578,0.8151625058399368,no_weak_exposure,outcome_robustness,True,unlock_fee_ge_1_20:Multi-platform,-0.121***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.03706806056995458,0.010779802644551289,0.0005846040817444492,-0.05819608551372474,-0.01594003562618443,13768,92,30,0.9026331037762375,0.9008249437472227,no_weak_exposure,outcome_robustness,True,unlock_fee_ge_1_20:Local MaaS only,-0.037***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.07201722186358525,0.011530221040210195,4.2122309338788196e-10,-0.09461603983618319,-0.04941840389098731,13768,92,30,0.9026331037762375,0.9008249437472227,no_weak_exposure,outcome_robustness,True,unlock_fee_ge_1_20:Multi-platform,-0.072***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.07746022442530376,0.03080655174601068,0.011923257951852891,-0.1378399563353542,-0.017080492515253308,11149,75,30,0.8341107532361687,0.8311265342961198,scooter_only,outcome_robustness,True,unlock_fee_ge_1_00:Local MaaS only,-0.077*,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.06201083205557498,0.023099079452264793,0.0072625653735489985,-0.10728419585804316,-0.016737468253106784,11149,75,30,0.8341107532361687,0.8311265342961198,scooter_only,outcome_robustness,True,unlock_fee_ge_1_00:Multi-platform,-0.062**,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.024071651852691393,0.010523563626535727,0.022172195857591087,-0.04469745754971714,-0.003445846155665646,11149,75,30,0.8836511933110988,0.8811566339593301,scooter_only,outcome_robustness,True,unlock_fee_ge_1_00:Local MaaS only,-0.024*,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.07618420547135034,0.006005543952848831,7.102569351446151e-37,-0.08795485532650636,-0.06441355561619432,11149,75,30,0.8836511933110988,0.8811566339593301,scooter_only,outcome_robustness,True,unlock_fee_ge_1_00:Multi-platform,-0.076***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.10529350148016661,0.027375442719454905,0.00011992678975964594,-0.15894838327113747,-0.05163861968919577,11149,75,30,0.8366326332799372,0.8336937810067336,scooter_only,outcome_robustness,True,unlock_fee_ge_1_20:Local MaaS only,-0.105***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.07783795173343357,0.02597014706259592,0.0027246407978826852,-0.12873850464933023,-0.026937398817536887,11149,75,30,0.8366326332799372,0.8336937810067336,scooter_only,outcome_robustness,True,unlock_fee_ge_1_20:Multi-platform,-0.078**,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.041224065203590766,0.018756923200960476,0.027962983673669627,-0.07798695913825704,-0.004461171268924487,11149,75,30,0.8835194994229163,0.8810221165078497,scooter_only,outcome_robustness,True,unlock_fee_ge_1_20:Local MaaS only,-0.041*,negative
