fe_strategy,model,label,coef,std_err,p_value,estimate,nobs,city_operators
unit_fe,type_moderation_unit_fe_all,Relative fleet:FreeNow only,0.015509539876311887,0.009404759007285178,0.09912384357925096,0.016+,14514,97
unit_fe,type_moderation_unit_fe_all,Relative fleet:Local MaaS only,0.028818384062449492,0.015580367322940773,0.06436255208874604,0.029+,14514,97
unit_fe,type_moderation_unit_fe_all,Relative fleet:Multi-platform,0.02037258325534235,0.012024547142990774,0.09021787801222732,0.020+,14514,97
unit_fe,type_moderation_unit_fe_all,Relative fleet:Weak exposure only,0.00965003886957079,0.010870314985804251,0.37467936477693664,0.010,14514,97
unit_fe,type_moderation_unit_fe_all,Coverage:FreeNow only,0.000615483185197988,0.008269282002515197,0.9406681878635459,0.001,14514,97
unit_fe,type_moderation_unit_fe_all,Coverage:Local MaaS only,0.04526620629457528,0.026134690220536404,0.0832672756517374,0.045+,14514,97
unit_fe,type_moderation_unit_fe_all,Coverage:Multi-platform,0.05157595262031879,0.018753798484059843,0.005956611178236949,0.052**,14514,97
unit_fe,type_moderation_unit_fe_all,Coverage:Weak exposure only,-0.05539886220890967,0.0072413506973426954,2.0043411539760354e-14,-0.055***,14514,97
unit_fe,type_moderation_unit_fe_all,Exclusive_Coverage:FreeNow only,-0.017825961035824008,0.014823823369066578,0.22916167911624186,-0.018,14514,97
unit_fe,type_moderation_unit_fe_all,Exclusive_Coverage:Local MaaS only,-0.07312427345572282,0.012135542738448576,1.684536073082552e-09,-0.073***,14514,97
unit_fe,type_moderation_unit_fe_all,Exclusive_Coverage:Multi-platform,-0.06635461196480487,0.012941541744730755,2.939938947077598e-07,-0.066***,14514,97
unit_fe,type_moderation_unit_fe_all,Exclusive_Coverage:Weak exposure only,-0.03204816510201344,0.008389332805707438,0.00013339275354355056,-0.032***,14514,97
unit_fe,type_moderation_unit_fe_all,Promotion:FreeNow only,0.0001762617893646505,0.010511830294575258,0.9866217427024325,0.000,14514,97
unit_fe,type_moderation_unit_fe_all,Promotion:Local MaaS only,0.08589192493547379,0.05293302635137912,0.10466364051627573,0.086,14514,97
unit_fe,type_moderation_unit_fe_all,Promotion:Multi-platform,-0.008754269193935894,0.018652979631160447,0.6388388988624649,-0.009,14514,97
unit_fe,type_moderation_unit_fe_all,Promotion:Weak exposure only,0.0001762617893624474,0.010511830294575343,0.9866217427025998,0.000,14514,97
