model,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,significant_05,label
any_platform_moderation_market_fe_all,ur_boxcox,platform_any,0.03851966584796432,0.01937732615359629,0.04682572399149867,0.0005408044702295348,0.07649852722569911,14514,97,30,0.7821398857584131,0.7790802237291677,True,Any platform
any_platform_moderation_market_fe_all,ur_boxcox,price_per_minute_z:platform_any,-0.004923321159175041,0.02142696716057801,0.81826879612227,-0.04691940509183041,0.037072762773480324,14514,97,30,0.7821398857584131,0.7790802237291677,False,Price/min:Any platform
any_platform_moderation_market_fe_all,ur_boxcox,unlock_fee_z:platform_any,-0.07150842409773345,0.016674477480909822,1.7988732372264147e-05,-0.10418979942134086,-0.03882704877412603,14514,97,30,0.7821398857584131,0.7790802237291677,True,Unlock fee:Any platform
any_platform_moderation_market_fe_all,ur_boxcox,relative_fleet_size_z:platform_any,-0.0029357722892930558,0.014892099949062185,0.8437209402133238,-0.03212375184362571,0.0262522072650396,14514,97,30,0.7821398857584131,0.7790802237291677,False,Relative fleet:Any platform
any_platform_moderation_market_fe_all,ur_boxcox,Coverage_z:platform_any,-0.024465519033419186,0.015398750057234779,0.11210577411580806,-0.05464651455253344,0.005715476485695075,14514,97,30,0.7821398857584131,0.7790802237291677,False,Coverage:Any platform
any_platform_moderation_market_fe_all,ur_boxcox,Exclusive_Coverage_z:platform_any,-0.04000214086732083,0.022352524520597734,0.07351778519364892,-0.08381228389124082,0.003808002156599162,14514,97,30,0.7821398857584131,0.7790802237291677,False,Exclusive_Coverage:Any platform
any_platform_moderation_market_fe_all,ur_boxcox,promo_active_clean:platform_any,0.021594067626888955,0.014082360057421736,0.12517423879905232,-0.006006850902983054,0.04919498615676096,14514,97,30,0.7821398857584131,0.7790802237291677,False,Promotion:Any platform
any_platform_moderation_unit_fe_all,ur_boxcox,platform_any,0.003971538530345617,0.014768331063695234,0.787989216819724,-0.024973858466261146,0.03291693552695238,14514,97,30,0.9007607151863357,0.8989645920378316,False,Any platform
any_platform_moderation_unit_fe_all,ur_boxcox,price_per_minute_z:platform_any,0.02353752193749276,0.026310501943874805,0.37099796616963576,-0.02803011428767294,0.07510515816265846,14514,97,30,0.9007607151863357,0.8989645920378316,False,Price/min:Any platform
any_platform_moderation_unit_fe_all,ur_boxcox,unlock_fee_z:platform_any,-0.023557728957572223,0.02513367998015577,0.34860568062015207,-0.0728188365176329,0.025703378602488468,14514,97,30,0.9007607151863357,0.8989645920378316,False,Unlock fee:Any platform
any_platform_moderation_unit_fe_all,ur_boxcox,relative_fleet_size_z:platform_any,0.018070846430186752,0.009252421294201481,0.05080848450722235,-6.356607623962673e-05,0.03620525893661313,14514,97,30,0.9007607151863357,0.8989645920378316,False,Relative fleet:Any platform
any_platform_moderation_unit_fe_all,ur_boxcox,Coverage_z:platform_any,0.0013700851057269583,0.00788864478086953,0.8621184228409053,-0.014091374551607189,0.016831544763061104,14514,97,30,0.9007607151863357,0.8989645920378316,False,Coverage:Any platform
any_platform_moderation_unit_fe_all,ur_boxcox,Exclusive_Coverage_z:platform_any,-0.018380291624606367,0.01485165206727692,0.21586723641135686,-0.047488994787388966,0.010728411538176236,14514,97,30,0.9007607151863357,0.8989645920378316,False,Exclusive_Coverage:Any platform
any_platform_moderation_unit_fe_all,ur_boxcox,promo_active_clean:platform_any,0.004597318863032507,0.0065523938406899076,0.4829134816884363,-0.008245137077241792,0.017439774803306805,14514,97,30,0.9007607151863357,0.8989645920378316,False,Promotion:Any platform
type_moderation_market_fe_all,ur_boxcox,large_aggregator_only,-0.04612180734232796,0.024121655634239802,0.05586980408371043,-0.09339938363291564,0.0011557689482597291,14514,97,30,0.8325925380852751,0.8300157773197787,False,FreeNow only
type_moderation_market_fe_all,ur_boxcox,local_maas_only,0.022707401911115206,0.026260894591280646,0.38721169895331164,-0.02876300568959756,0.07417780951182798,14514,97,30,0.8325925380852751,0.8300157773197787,False,Local MaaS only
type_moderation_market_fe_all,ur_boxcox,multi_platform_membership,0.03037754265817905,0.050784574536193054,0.5497300050795256,-0.06915839440294926,0.12991347971930736,14514,97,30,0.8325925380852751,0.8300157773197787,False,Multi-platform
type_moderation_market_fe_all,ur_boxcox,weak_exposure_only,-0.008816651179497353,0.02824327400214732,0.7549127203519018,-0.06417245102920253,0.04653914867020782,14514,97,30,0.8325925380852751,0.8300157773197787,False,Weak exposure only
type_moderation_market_fe_all,ur_boxcox,price_per_minute_z:large_aggregator_only,0.14439097203849346,0.06175040965433735,0.01937170013753618,0.02336239308539781,0.2654195509915891,14514,97,30,0.8325925380852751,0.8300157773197787,True,Price/min:FreeNow only
type_moderation_market_fe_all,ur_boxcox,price_per_minute_z:local_maas_only,0.04074813652669043,0.020660371256314373,0.04857710197061867,0.0002545529570877128,0.08124172009629316,14514,97,30,0.8325925380852751,0.8300157773197787,True,Price/min:Local MaaS only
