sample,rows,cities,city_operators,mean_ur,mean_city_competition,mean_active_city_operators,mean_market_fragmentation,platform_any_rows
all,14514,30,97,0.009061918214027315,12.79681686647375,3.4153231362822103,0.5964634002830623,7894
no_weak_exposure,13768,30,92,0.009105104039607579,12.863959907030797,3.4501743172574084,0.6050865162206943,7453
scooter_only,11149,30,75,0.007384487953018333,12.858642030675396,3.4003049600861064,0.6029469074913317,6487
bookable_or_none,14209,30,95,0.009108068063692135,12.856780913505524,3.445703427405166,0.6068929126317932,7894
