family,term,label,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_market_fe_coef,all_market_fe_p,all_unit_fe_coef,all_unit_fe_p,no_weak_market_fe_coef,no_weak_market_fe_p,scooter_market_fe_coef,scooter_market_fe_p
leave_one_operator,unlock_fee_ge_0_99:platform_any,unlock_fee_ge_0_99:Any platform,8,4,0,-0.03624589906628252,,,,,,,,
leave_one_operator,unlock_fee_ge_1_20:platform_any,unlock_fee_ge_1_20:Any platform,8,3,2,-0.011596220553335892,,,,,,,,
leave_one_operator,unlock_fee_ge_1_00:platform_any,unlock_fee_ge_1_00:Any platform,8,3,1,-0.019660506822192694,,,,,,,,
leave_one_operator,unlock_fee_ge_0_75:platform_any,unlock_fee_ge_0_75:Any platform,8,2,0,-0.015374082805197344,,,,,,,,
threshold_any,unlock_fee_ge_0_49:platform_any,unlock_fee_ge_0_49:Any platform,6,3,1,-0.03038979549255514,-0.18025865532660942,2.438835877957997e-05,0.005574392680055967,0.5775721120063753,-0.12511256365008444,0.0007701654157468815,-0.06579074002549123,0.02763025928733581
threshold_any,unlock_fee_ge_0_99:platform_any,unlock_fee_ge_0_99:Any platform,6,3,0,-0.029583023479974456,-0.15980952376304292,2.0303627489793827e-05,-0.006951029967378505,0.6252320688554687,-0.1113937501298897,0.00038669444824050307,-0.051588660787773966,0.02111151325970602
threshold_any,unlock_fee_ge_1_00:platform_any,unlock_fee_ge_1_00:Any platform,6,3,0,-0.030986124568887437,-0.1580679491936183,4.667135545521827e-06,-0.01306021672370841,0.4017276274611108,-0.10974598889742031,0.00012988336368601107,-0.04885258892349508,0.013308743041369054
threshold_any,unlock_fee_ge_1_20:platform_any,unlock_fee_ge_1_20:Any platform,6,3,0,-0.026070736752553236,-0.15494069707873342,7.920324566657244e-06,-0.005171646938362977,0.7541452328751838,-0.10843235810731182,0.00014846654835621445,-0.04696982656674349,0.02123247855004412
threshold_any,unlock_fee_positive:platform_any,unlock_fee_positive:Any platform,6,2,0,-0.00463522279915754,-0.18217358259896604,0.0004007130315278651,0.005574392680053707,0.5775721120065209,-0.12491285376864238,0.006945997283523239,-0.0030445268380097697,0.6300735512962434
threshold_any,unlock_fee_ge_0_75:platform_any,unlock_fee_ge_0_75:Any platform,6,1,0,-0.015019056355604915,-0.07517402346064636,0.03993800770931274,-0.007084200396923208,0.6188049190873267,-0.04144742202739496,0.30422823171119207,-0.021577435546154253,0.381100449998527
