model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
threshold_type_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.21187833824827862,0.04174673519924699,3.868298806915053e-07,-0.2937004357109333,-0.13005624078562397,14514,97,30,0.7789776895125707,0.7758736170972568,all,threshold_type,True,unlock_fee_ge_0_99:Local MaaS only,-0.212***,negative
threshold_type_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.1115175376695018,0.04749889655689385,0.018885055175050024,-0.2046136642264073,-0.018421411112596278,14514,97,30,0.7789776895125707,0.7758736170972568,all,threshold_type,True,unlock_fee_ge_0_99:Multi-platform,-0.112*,negative
threshold_type_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.052928928997139274,0.01607111052384133,0.0009897623669388067,-0.08442772681543093,-0.021430131178847622,14514,97,30,0.9004371395632674,0.8986351600478218,all,threshold_type,True,unlock_fee_ge_0_99:Local MaaS only,-0.053***,negative
threshold_type_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.09493591600591587,0.015178935586641993,3.989154783077421e-10,-0.12468608307938754,-0.0651857489324442,14514,97,30,0.9004371395632674,0.8986351600478218,all,threshold_type,True,unlock_fee_ge_0_99:Multi-platform,-0.095***,negative
threshold_any_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:platform_any,-0.1580679491936183,0.034518532888083896,4.667135545521827e-06,-0.22572303045342412,-0.0904128679338125,14514,97,30,0.7648152727920637,0.7615789364369392,all,threshold_any,True,unlock_fee_ge_1_00:Any platform,-0.158***,negative
threshold_type_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.2286322927694854,0.04094395494545443,2.3500747816599214e-08,-0.3088809698472067,-0.14838361569176411,14514,97,30,0.7785755216220308,0.7754658010970188,all,threshold_type,True,unlock_fee_ge_1_00:Local MaaS only,-0.229***,negative
threshold_type_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.1461973117230732,0.039445171180651696,0.00021027395338566834,-0.22350842660116782,-0.0688861968449786,14514,97,30,0.7785755216220308,0.7754658010970188,all,threshold_type,True,unlock_fee_ge_1_00:Multi-platform,-0.146***,negative
threshold_type_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.04889732940738122,0.016045859698262187,0.0023086973194887312,-0.08034663651695785,-0.017448022297804594,14514,97,30,0.9005437579830644,0.8987437081450869,all,threshold_type,True,unlock_fee_ge_1_00:Local MaaS only,-0.049**,negative
threshold_type_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.0988043956793538,0.01536579086664652,1.274750531500321e-10,-0.12892079237195547,-0.06868799898675212,14514,97,30,0.9005437579830644,0.8987437081450869,all,threshold_type,True,unlock_fee_ge_1_00:Multi-platform,-0.099***,negative
threshold_any_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:platform_any,-0.15494069707873342,0.034683093187429674,7.920324566657244e-06,-0.2229183105985421,-0.08696308355892475,14514,97,30,0.7634758655221715,0.7602210978152608,all,threshold_any,True,unlock_fee_ge_1_20:Any platform,-0.155***,negative
threshold_type_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.23345565959896625,0.04141273102953678,1.7274500564030273e-08,-0.3146231209183027,-0.1522881982796298,14514,97,30,0.7816664776161673,0.7786001669678198,all,threshold_type,True,unlock_fee_ge_1_20:Local MaaS only,-0.233***,negative
threshold_type_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.17112779166611697,0.0406185723225505,2.51953077677236e-05,-0.2507387305217514,-0.09151685281048254,14514,97,30,0.7816664776161673,0.7786001669678198,all,threshold_type,True,unlock_fee_ge_1_20:Multi-platform,-0.171***,negative
threshold_type_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.04742393630019462,0.01729251506100938,0.006098189182336614,-0.08131664302188946,-0.013531229578499782,14514,97,30,0.900442225376836,0.898640337909086,all,threshold_type,True,unlock_fee_ge_1_20:Local MaaS only,-0.047**,negative
threshold_type_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.08204023391969752,0.01830524588591918,7.402020695095157e-06,-0.11791785658424911,-0.04616261125514593,14514,97,30,0.900442225376836,0.898640337909086,all,threshold_type,True,unlock_fee_ge_1_20:Multi-platform,-0.082***,negative
threshold_any_unlock_fee_positive_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_positive:platform_any,-0.12491285376864238,0.04627392076608791,0.006945997283523239,-0.2156080718936348,-0.03421763564364996,13768,92,30,0.8083655043501903,0.8055834855113537,no_weak_exposure,threshold_any,True,unlock_fee_positive:Any platform,-0.125**,negative
threshold_type_unlock_fee_positive_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_positive:local_maas_only,-0.12064916090592775,0.0474603351210219,0.011018702889765265,-0.2136697084373321,-0.02762861337452341,13768,92,30,0.8118954633338025,0.8091365598258003,no_weak_exposure,threshold_type,True,unlock_fee_positive:Local MaaS only,-0.121*,negative
