model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,feature,significant_05,label,estimate,effect_direction
underused_type_complementary_services_market_fe_all,ols_cluster,market_fe,ur_boxcox,complementary_services:local_maas_only,-0.08548918014146314,0.04441650859287839,0.05426485433939432,-0.17254393730251863,0.0015655770195923402,14514,97,30,0.7694191780239008,0.7661972004933189,all,feature_x_platform_type,complementary_services,False,complementary_services:Local MaaS only,-0.085+,negative
underused_type_complementary_services_market_fe_all,ols_cluster,market_fe,ur_boxcox,complementary_services:multi_platform,2.0786045394920296e-17,1.8372357891198796e-18,1.1217666034994526e-29,1.7185129417137308e-17,2.4386961372703285e-17,14514,97,30,0.7694191780239008,0.7661972004933189,all,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,0.000***,positive
underused_type_complementary_services_market_fe_all,ols_cluster,market_fe,ur_boxcox,complementary_services:large_aggregator_only,-1.0538304662712178e-17,1.3367070004025999e-18,3.176218733830275e-15,-1.3158202241383842e-17,-7.918407084040514e-18,14514,97,30,0.7694191780239008,0.7661972004933189,all,feature_x_platform_type,complementary_services,True,complementary_services:FreeNow only,-0.000***,negative
underused_any_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,complementary_services:platform_any,-0.006813832740735696,0.002570947709589744,0.008041569378548755,-0.011852797657667336,-0.0017748678238040556,14514,97,30,0.9001200716908624,0.898348008446668,all,feature_x_any_platform,complementary_services,True,complementary_services:Any platform,-0.007**,negative
underused_type_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,complementary_services:local_maas_only,0.001927840283603014,0.005947287283487591,0.7458210231992897,-0.009728628597745719,0.013584309164951748,14514,97,30,0.9002328972855724,0.8984485929517122,all,feature_x_platform_type,complementary_services,False,complementary_services:Local MaaS only,0.002,positive
underused_type_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,complementary_services:multi_platform,1.3635728816205249e-17,2.1030652653075474e-18,8.947624061312753e-11,9.513796639065282e-18,1.7757660993345214e-17,14514,97,30,0.9002328972855724,0.8984485929517122,all,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,0.000***,positive
underused_type_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,complementary_services:large_aggregator_only,4.371268827091379e-17,2.8000227151522858e-18,6.074530919757113e-55,3.822474459332126e-17,4.9200631948506325e-17,14514,97,30,0.9002328972855724,0.8984485929517122,all,feature_x_platform_type,complementary_services,True,complementary_services:FreeNow only,0.000***,positive
underused_any_no_of_vehicle_types_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:platform_any,-0.02324222998305606,0.014135427495550487,0.1001237938355913,-0.05094715878041223,0.004462698814300111,14514,97,30,0.7644622496777336,0.7612043751011489,all,feature_x_any_platform,no_of_vehicle_types_z,False,no_of_vehicle_types_z:Any platform,-0.023,negative
underused_type_no_of_vehicle_types_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:local_maas_only,-0.033602909011757935,0.020038441925472814,0.09355768765488777,-0.0728775334919821,0.005671715468466232,14514,97,30,0.7733291836811813,0.7701297213866944,all,feature_x_platform_type,no_of_vehicle_types_z,False,no_of_vehicle_types_z:Local MaaS only,-0.034+,negative
underused_type_no_of_vehicle_types_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:multi_platform,-0.007284682145588683,0.015840917194680913,0.6456131800844211,-0.03833230932924454,0.023762945038067175,14514,97,30,0.7733291836811813,0.7701297213866944,all,feature_x_platform_type,no_of_vehicle_types_z,False,no_of_vehicle_types_z:Multi-platform,-0.007,negative
underused_type_no_of_vehicle_types_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:large_aggregator_only,-0.03621319108700176,0.014929242106898407,0.015280788008236169,-0.06547396793300152,-0.006952414241002004,14514,97,30,0.7733291836811813,0.7701297213866944,all,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:FreeNow only,-0.036*,negative
underused_any_no_of_vehicle_types_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:platform_any,0.004726882466018809,0.002695451805996521,0.07949028123842942,-0.0005561059957978178,0.010009870927835434,14514,97,30,0.9001200716908624,0.898348008446668,all,feature_x_any_platform,no_of_vehicle_types_z,False,no_of_vehicle_types_z:Any platform,0.005+,positive
underused_type_no_of_vehicle_types_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:local_maas_only,0.004361175169833809,0.00811739468906936,0.591086014927297,-0.011548626069038847,0.020270976408706464,14514,97,30,0.9002555513908854,0.8984645309206649,all,feature_x_platform_type,no_of_vehicle_types_z,False,no_of_vehicle_types_z:Local MaaS only,0.004,positive
underused_type_no_of_vehicle_types_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:multi_platform,0.01411898733107596,0.005774810836140472,0.014488171427632056,0.0028005660747089985,0.025437408587442922,14514,97,30,0.9002555513908854,0.8984645309206649,all,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:Multi-platform,0.014*,positive
underused_type_no_of_vehicle_types_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:large_aggregator_only,0.005223027529291305,0.0037759186130233665,0.1665891887305656,-0.002177636960788927,0.012623692019371538,14514,97,30,0.9002555513908854,0.8984645309206649,all,feature_x_platform_type,no_of_vehicle_types_z,False,no_of_vehicle_types_z:FreeNow only,0.005,positive
underused_any_group_ride_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,group_ride:platform_any,-0.0813234730656028,878.0682754166467,0.9999261028495007,-1721.06351925689,1720.9008723107588,13768,92,30,0.8038813224514056,0.8010342053197127,no_weak_exposure,feature_x_any_platform,group_ride,False,group_ride:Any platform,-0.081,negative
underused_type_group_ride_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,group_ride:local_maas_only,-0.08103210985241431,387.7541072906885,0.9998332596155804,-760.065117257082,759.903053037377,13768,92,30,0.8131935966116162,0.8104257883349638,no_weak_exposure,feature_x_platform_type,group_ride,False,group_ride:Local MaaS only,-0.081,negative
underused_type_group_ride_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,group_ride:multi_platform,-0.09346268845854025,,,,,13768,92,30,0.8131935966116162,0.8104257883349638,no_weak_exposure,feature_x_platform_type,group_ride,False,group_ride:Multi-platform,-0.093,negative
underused_type_group_ride_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,group_ride:large_aggregator_only,-0.021697821381106347,,,,,13768,92,30,0.8131935966116162,0.8104257883349638,no_weak_exposure,feature_x_platform_type,group_ride,False,group_ride:FreeNow only,-0.022,negative
underused_any_group_ride_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,group_ride:platform_any,-0.012933382130115328,0.015626016516118914,0.4078502702282002,-0.04355981172353645,0.017693047463305793,13768,92,30,0.9024384615851689,0.9006413893063339,no_weak_exposure,feature_x_any_platform,group_ride,False,group_ride:Any platform,-0.013,negative
underused_type_group_ride_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,group_ride:local_maas_only,-0.052013198508840466,0.01667561810647428,0.0018139411621074907,-0.08469680941747407,-0.019329587600206866,13768,92,30,0.9027784902815927,0.9009583747008056,no_weak_exposure,feature_x_platform_type,group_ride,True,group_ride:Local MaaS only,-0.052**,negative
underused_type_group_ride_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,group_ride:multi_platform,-0.0868074436985453,0.0175667400896307,7.749218379692431e-07,-0.1212376215999974,-0.05237726579709321,13768,92,30,0.9027784902815927,0.9009583747008056,no_weak_exposure,feature_x_platform_type,group_ride,True,group_ride:Multi-platform,-0.087***,negative
underused_type_group_ride_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,group_ride:large_aggregator_only,-0.01494345230172256,0.016013596633084784,0.35073077242554496,-0.046329524965520605,0.016442620362075486,13768,92,30,0.9027784902815927,0.9009583747008056,no_weak_exposure,feature_x_platform_type,group_ride,False,group_ride:FreeNow only,-0.015,negative
underused_any_subscription_options_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,subscription_options:platform_any,-0.16667654059792325,0.030891631253721075,6.832382458971356e-08,-0.22722302527890847,-0.10613005591693803,13768,92,30,0.8070362792672323,0.8042205362717951,no_weak_exposure,feature_x_any_platform,subscription_options,True,subscription_options:Any platform,-0.167***,negative
underused_type_subscription_options_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,subscription_options:local_maas_only,-0.14249288161244666,0.03423836878174663,3.157634431234301e-05,-0.20959885131407058,-0.07538691191082274,13768,92,30,0.8123693012908864,0.80960331472482,no_weak_exposure,feature_x_platform_type,subscription_options,True,subscription_options:Local MaaS only,-0.142***,negative
underused_type_subscription_options_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,subscription_options:multi_platform,-0.014636684820167998,0.012792817358724505,0.2525684735808611,-0.03971014610406685,0.010436776463730852,13768,92,30,0.8123693012908864,0.80960331472482,no_weak_exposure,feature_x_platform_type,subscription_options,False,subscription_options:Multi-platform,-0.015,negative
underused_type_subscription_options_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,subscription_options:large_aggregator_only,0.006059230732393443,0.007722090491569458,0.43265178620454703,-0.009075788516441896,0.021194249981228784,13768,92,30,0.8123693012908864,0.80960331472482,no_weak_exposure,feature_x_platform_type,subscription_options,False,subscription_options:FreeNow only,0.006,positive
underused_any_subscription_options_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,subscription_options:platform_any,0.04318613139444438,0.006353899564251495,1.0697463966373916e-11,0.03073271708712671,0.05563954570176206,13768,92,30,0.9024015027498012,0.9006111020309574,no_weak_exposure,feature_x_any_platform,subscription_options,True,subscription_options:Any platform,0.043***,positive
underused_type_subscription_options_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,subscription_options:local_maas_only,0.02681237429161515,0.011766428788687836,0.022683827900064027,0.003750597639131735,0.04987415094409856,13768,92,30,0.9025227833582262,0.9007199199891026,no_weak_exposure,feature_x_platform_type,subscription_options,True,subscription_options:Local MaaS only,0.027*,positive
underused_type_subscription_options_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,subscription_options:multi_platform,-0.020766204209678226,0.010681914929581848,0.051889111577537436,-0.041702372757579355,0.0001699643382229027,13768,92,30,0.9025227833582262,0.9007199199891026,no_weak_exposure,feature_x_platform_type,subscription_options,False,subscription_options:Multi-platform,-0.021+,negative
underused_type_subscription_options_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,subscription_options:large_aggregator_only,-0.005614572276801726,0.005194416504281353,0.27974780987698034,-0.015795441545893626,0.004566296992290175,13768,92,30,0.9025227833582262,0.9007199199891026,no_weak_exposure,feature_x_platform_type,subscription_options,False,subscription_options:FreeNow only,-0.006,negative
underused_any_complementary_services_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,complementary_services:platform_any,-0.03664212630053035,0.04101101239122744,0.37160530812153103,-0.117022233556862,0.04373798095580131,13768,92,30,0.804277396074963,0.8014213952217566,no_weak_exposure,feature_x_any_platform,complementary_services,False,complementary_services:Any platform,-0.037,negative
underused_type_complementary_services_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,complementary_services:local_maas_only,-0.06086874581493566,0.042435888120989716,0.15146683192636934,-0.14404155818404663,0.022304066554175286,13768,92,30,0.8098609687991839,0.8070580052670719,no_weak_exposure,feature_x_platform_type,complementary_services,False,complementary_services:Local MaaS only,-0.061,negative
underused_type_complementary_services_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,complementary_services:multi_platform,8.919895957765273e-18,8.671904509914641e-19,8.151611965766224e-25,7.220233906084957e-18,1.061955800944559e-17,13768,92,30,0.8098609687991839,0.8070580052670719,no_weak_exposure,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,0.000***,positive
