sample,rows,cities,city_operators,group_ride_mean,group_ride_nonzero_rows,subscription_options_mean,subscription_options_nonzero_rows,complementary_services_mean,complementary_services_nonzero_rows,no_of_vehicle_types_z_mean,no_of_vehicle_types_z_nonzero_rows
all,14514,30,97,0.5796472371503376,8413,0.9472922695328648,13749,0.08433236874741629,1224,-1.0966072261972057e-16,14514
no_weak_exposure,13768,30,92,0.5999418942475305,8260,0.9555490993608368,13156,0.08890180127832656,1224,0.023163050484362957,13768
scooter_only,11149,30,75,0.7545968248273388,8413,0.986276796125213,10996,0.10978563099829582,1224,0.1290259117561379,11149
