model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,feature,significant_05,label,estimate,effect_direction
underused_any_subscription_options_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,subscription_options:platform_any,0.04318613139444438,0.006353899564251495,1.0697463966373916e-11,0.03073271708712671,0.05563954570176206,13768,92,30,0.9024015027498012,0.9006111020309574,no_weak_exposure,feature_x_any_platform,subscription_options,True,subscription_options:Any platform,0.043***,positive
underused_type_subscription_options_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,subscription_options:local_maas_only,0.02681237429161515,0.011766428788687836,0.022683827900064027,0.003750597639131735,0.04987415094409856,13768,92,30,0.9025227833582262,0.9007199199891026,no_weak_exposure,feature_x_platform_type,subscription_options,True,subscription_options:Local MaaS only,0.027*,positive
underused_type_complementary_services_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,complementary_services:multi_platform,8.919895957765273e-18,8.671904509914641e-19,8.151611965766224e-25,7.220233906084957e-18,1.061955800944559e-17,13768,92,30,0.8098609687991839,0.8070580052670719,no_weak_exposure,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,0.000***,positive
underused_type_complementary_services_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,complementary_services:large_aggregator_only,-3.253322613265761e-17,1.7209875186622271e-18,1.0610048126475721e-79,-3.5906299687078534e-17,-2.916015257823669e-17,13768,92,30,0.8098609687991839,0.8070580052670719,no_weak_exposure,feature_x_platform_type,complementary_services,True,complementary_services:FreeNow only,-0.000***,negative
underused_any_complementary_services_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,complementary_services:platform_any,-0.011570760110848455,0.0021996616454885176,1.438632524682695e-07,-0.01588201771418006,-0.007259502507516848,13768,92,30,0.9024015027498011,0.9006111020309573,no_weak_exposure,feature_x_any_platform,complementary_services,True,complementary_services:Any platform,-0.012***,negative
underused_type_complementary_services_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,complementary_services:multi_platform,5.093367075767666e-17,1.8194506250330504e-18,1.9232706569988377e-172,4.7367613060962994e-17,5.449972845439033e-17,13768,92,30,0.9025227833582262,0.9007199199891026,no_weak_exposure,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,0.000***,positive
underused_type_complementary_services_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,complementary_services:large_aggregator_only,2.5766261663413283e-17,1.2623965433642977e-18,1.3464209990904331e-92,2.3292009904211403e-17,2.8240513422615166e-17,13768,92,30,0.9025227833582262,0.9007199199891026,no_weak_exposure,feature_x_platform_type,complementary_services,True,complementary_services:FreeNow only,0.000***,positive
underused_any_no_of_vehicle_types_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:platform_any,-0.029476972639116125,0.013713733547283107,0.03159881447493709,-0.05635539648536973,-0.002598548792862518,13768,92,30,0.8082601997985525,0.8054623163554184,no_weak_exposure,feature_x_any_platform,no_of_vehicle_types_z,True,no_of_vehicle_types_z:Any platform,-0.029*,negative
underused_type_no_of_vehicle_types_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:large_aggregator_only,-0.0402867794038583,0.013873989773568443,0.0036870704476954915,-0.06747929968192948,-0.013094259125787135,13768,92,30,0.8123800622291066,0.8095861641509849,no_weak_exposure,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:FreeNow only,-0.040**,negative
underused_type_no_of_vehicle_types_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:multi_platform,0.011322470831773498,0.005693184774195515,0.0467259021375087,0.00016403371701848891,0.02248090794652851,13768,92,30,0.9025466753044655,0.900736910248341,no_weak_exposure,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:Multi-platform,0.011*,positive
underused_type_group_ride_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,group_ride:local_maas_only,-0.05095312165369218,0.02463226107124138,0.03858811281509915,-0.0992314662111133,-0.0026747770962710637,11149,75,30,0.8837281393791546,0.8812134620416803,scooter_only,feature_x_platform_type,group_ride,True,group_ride:Local MaaS only,-0.051*,negative
underused_type_group_ride_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,group_ride:multi_platform,-0.08607394860061408,0.0178336350715272,1.389569553540243e-06,-0.1210272310542378,-0.05112066614699038,11149,75,30,0.8837281393791546,0.8812134620416803,scooter_only,feature_x_platform_type,group_ride,True,group_ride:Multi-platform,-0.086***,negative
underused_type_complementary_services_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,complementary_services:multi_platform,-1.0323771857117806e-17,5.529673982881449e-19,8.723435156013827e-78,-1.1407568042387386e-17,-9.239975671848226e-18,11149,75,30,0.8341042621051122,0.8311045035568759,scooter_only,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,-0.000***,negative
underused_any_complementary_services_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,complementary_services:platform_any,-0.006358860853718806,0.002946860486094662,0.030940077842575343,-0.01213460127392854,-0.0005831204335090719,11149,75,30,0.8830192310419378,0.8805439578323278,scooter_only,feature_x_any_platform,complementary_services,True,complementary_services:Any platform,-0.006*,negative
underused_type_complementary_services_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,complementary_services:multi_platform,4.45697292504109e-17,1.6354157163548091e-18,1.537762368946905e-163,4.13643733466047e-17,4.7775085154217094e-17,11149,75,30,0.883381641360288,0.8808922160223994,scooter_only,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,0.000***,positive
underused_type_complementary_services_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,complementary_services:large_aggregator_only,1.752652930089724e-17,9.223504562480346e-19,1.6407994096387556e-80,1.5718755625527004e-17,1.9334302976267475e-17,11149,75,30,0.883381641360288,0.8808922160223994,scooter_only,feature_x_platform_type,complementary_services,True,complementary_services:FreeNow only,0.000***,positive
underused_any_no_of_vehicle_types_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:platform_any,0.013320638570331196,0.0026508384183060083,5.032588748912897e-07,0.008125090741616298,0.018516186399046095,11149,75,30,0.8830192310419378,0.8805439578323278,scooter_only,feature_x_any_platform,no_of_vehicle_types_z,True,no_of_vehicle_types_z:Any platform,0.013***,positive
underused_type_no_of_vehicle_types_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:local_maas_only,0.022670613863214638,0.005422844325830129,2.9077136422544834e-05,0.012042034290820194,0.03329919343560908,11149,75,30,0.8835102806200544,0.8810127000506108,scooter_only,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:Local MaaS only,0.023***,positive
underused_type_no_of_vehicle_types_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:multi_platform,0.029931968803903204,0.0036185637738131416,1.3197202386410775e-16,0.022839714131468104,0.037024223476338304,11149,75,30,0.8835102806200544,0.8810127000506108,scooter_only,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:Multi-platform,0.030***,positive
underused_type_no_of_vehicle_types_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:large_aggregator_only,0.013881742308714393,0.003772465285434698,0.00023345951915618578,0.006487846216334771,0.021275638401094015,11149,75,30,0.8835102806200544,0.8810127000506108,scooter_only,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:FreeNow only,0.014***,positive
