city_operator,city,operator,large_any,local_any,weak_any,both_any,large_only_any,local_only_any,types,large_platforms,local_platforms,weak_platforms
KARLSRUHE_VOI,KARLSRUHE,VOI,1,1,0,1,0,1,both_large_and_local;local_maas_only,Free_Now,KVV_regiomove,
KASSEL_BOLT,KASSEL,BOLT,0,0,0,0,0,0,none,,,
KASSEL_NEXTBIKE,KASSEL,NEXTBIKE,0,0,0,0,0,0,none,,,
KASSEL_TIER,KASSEL,TIER,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
LEIPZIG_NEXTBIKE,LEIPZIG,NEXTBIKE,0,1,0,0,0,1,local_maas_only,,LeipzigMOVE,
LEIPZIG_TIER,LEIPZIG,TIER,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
LEIPZIG_VOI,LEIPZIG,VOI,1,1,0,1,0,1,both_large_and_local;local_maas_only,Free_Now,LeipzigMOVE,
LUEBECK_BOLT,LUEBECK,BOLT,0,0,0,0,0,0,none,,,
LUEBECK_TIER,LUEBECK,TIER,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
MAINZ-WIESBADEN_BOLT,MAINZ-WIESBADEN,BOLT,0,0,0,0,0,0,none,,,
MAINZ-WIESBADEN_TIER,MAINZ-WIESBADEN,TIER,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
MAINZ-WIESBADEN_VOI,MAINZ-WIESBADEN,VOI,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
MANNHEIM_BOLT,MANNHEIM,BOLT,0,0,0,0,0,0,none,,,
MANNHEIM_NEXTBIKE,MANNHEIM,NEXTBIKE,0,1,0,0,0,1,local_maas_only,,myVRN,
MANNHEIM_TIER,MANNHEIM,TIER,1,1,0,1,0,1,both_large_and_local;local_maas_only,Free_Now,myVRN,
MUENSTER_BOLT,MUENSTER,BOLT,0,0,0,0,0,0,none,,,
MUENSTER_TIER,MUENSTER,TIER,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
MUENSTER_VOI,MUENSTER,VOI,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
MUNICH_BOLT,MUNICH,BOLT,0,0,0,0,0,0,none,,,
MUNICH_TIER,MUNICH,TIER,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
MUNICH_VOI,MUNICH,VOI,1,1,0,1,0,0,both_large_and_local,Free_Now,MVGO,
NUREMBERG_BOLT,NUREMBERG,BOLT,0,0,0,0,0,0,none,,,
NUREMBERG_NEXTBIKE,NUREMBERG,NEXTBIKE,0,0,0,0,0,0,none,,,
NUREMBERG_TIER,NUREMBERG,TIER,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
NUREMBERG_VOI,NUREMBERG,VOI,1,1,0,1,0,1,both_large_and_local;local_maas_only,Free_Now,NuernbergMOBIL,
OLDENBURG_BOLT,OLDENBURG,BOLT,0,0,0,0,0,0,none,,,
OLDENBURG_NEXTBIKE,OLDENBURG,NEXTBIKE,0,0,1,0,0,0,weak_exposure_only,,,VBN_FahrPlaner
STUTTGART_BOLT,STUTTGART,BOLT,0,0,0,0,0,0,none,,,
STUTTGART_TIER,STUTTGART,TIER,1,0,1,0,1,0,large_aggregator_only,Free_Now,,Mobility_Stuttgart
STUTTGART_VOI,STUTTGART,VOI,1,0,1,0,1,0,large_aggregator_only,Free_Now,,Mobility_Stuttgart
