platform_membership_type_clean,rows,city_operators,mean_ur,mean_ur_boxcox,mean_trips,mean_price,mean_unlock,mean_relative_fleet,mean_coverage
none,6315,60,0.007548784715629889,-2.562958841956524,1903.5091053048297,0.1891211401425178,0.3197244655581948,0.05462447110579254,0.3317697276306818
large_aggregator_only,4079,32,0.008445479872859688,-2.514007274569736,1884.8516793331698,0.21857808286344693,0.9800759990193675,0.0428537242855708,0.35843132352663215
both_large_and_local,2129,16,0.008161581002985259,-2.5225907473534015,4762.798027242837,0.23106153123532175,0.9634053546265853,0.04736563619702215,0.4048805932901369
local_maas_only,1686,18,0.01774664607416875,-2.3449646147422376,3822.6749703440096,0.0892526690391459,0.1040391459074733,0.03721744543626963,0.31781119517823875
weak_exposure_only,305,2,0.006911940463576714,-2.596588002383963,60.019672131147544,0.060000000000000005,0.05016393442622951,0.021823184055952047,0.2262884489063835
